one file contain HomeTeam,AwayTeam,MatchDate,Stadium
FCK,MissingTeam,2023-09-30,Stadium 1
BIF,HOB,2023-09-30,Stadium 1
FCM,AGF,2023-09-30,Stadium 1
AaB,VB,2023-09-30,Stadium 1
OB,RFC,2023-09-30,Stadium 1
EfB,SIF,2023-09-30,Stadium 1
FCK,HOB,2023-09-30,Stadium 2
MissingTeam,AGF,2023-09-30,Stadium 2
BIF,VB,2023-09-30,Stadium 2
FCM,RFC,2023-09-30,Stadium 2
AaB,SIF,2023-09-30,Stadium 2
OB,EfB,2023-09-30,Stadium 2
FCK,AGF,2023-09-30,Stadium 3
HOB,VB,2023-09-30,Stadium 3
MissingTeam,RFC,2023-09-30,Stadium 3
BIF,SIF,2023-09-30,Stadium 3
FCM,EfB,2023-09-30,Stadium 3
AaB,OB,2023-09-30,Stadium 3
FCK,VB,2023-09-30,Stadium 4
AGF,RFC,2023-09-30,Stadium 4
HOB,SIF,2023-09-30,Stadium 4
MissingTeam,EfB,2023-09-30,Stadium 4
BIF,OB,2023-09-30,Stadium 4
FCM,AaB,2023-09-30,Stadium 4
FCK,RFC,2023-09-30,Stadium 5
VB,SIF,2023-09-30,Stadium 5
AGF,EfB,2023-09-30,Stadium 5
HOB,OB,2023-09-30,Stadium 5
MissingTeam,AaB,2023-09-30,Stadium 5
BIF,FCM,2023-09-30,Stadium 5
FCK,SIF,2023-09-30,Stadium 6
RFC,EfB,2023-09-30,Stadium 6
VB,OB,2023-09-30,Stadium 6
AGF,AaB,2023-09-30,Stadium 6
HOB,FCM,2023-09-30,Stadium 6
MissingTeam,BIF,2023-09-30,Stadium 6
 This doesnt look right. A team is only allowwed to play 22 matches
